"LAT";"LON";"DATETIME";"distance"
54.52346;18.65817;2016-12-13 14:23:02;0
54.52346;18.65817;2016-12-13 14:23:07;0
54.52346;18.65817;2016-12-13 14:25:02;0
54.52346;18.65817;2016-12-13 14:25:08;11.5708564125833
54.52337;18.65808;2016-12-13 14:27:02;11.5708564125833
54.52346;18.65817;2016-12-13 14:27:06;11.5708564125833
54.52337;18.65808;2016-12-13 14:29:02;8.9887411921598
54.52329;18.6581;2016-12-13 14:29:08;0
54.52329;18.6581;2016-12-13 14:31:02;0
54.52329;18.6581;2016-12-13 14:31:08;6.33954779817206
54.52333;18.65817;2016-12-13 14:33:02;0
54.52333;18.65817;2016-12-13 14:33:07;0
54.52333;18.65817;2016-12-13 14:35:01;2.5713029328504
54.52331;18.65819;2016-12-13 14:35:07;0
54.52331;18.65819;2016-12-13 14:37:02;0
54.52331;18.65819;2016-12-13 14:37:07;0
54.52331;18.65819;2016-12-13 14:39:01;7.31551997194553
54.52335;18.65828;2016-12-13 14:39:06;6.82586955963576
54.52337;18.65818;2016-12-13 14:41:02;0
54.52337;18.65818;2016-12-13 14:41:08;0
54.52337;18.65818;2016-12-13 14:43:02;0
54.52337;18.65818;2016-12-13 14:43:07;2.81067777678853
54.52338;18.65822;2016-12-13 14:45:02;0
54.52338;18.65822;2016-12-13 14:45:07;6.12978367266856
54.52343;18.65818;2016-12-13 14:47:02;0
54.52343;18.65818;2016-12-13 14:47:08;0
54.52343;18.65818;2016-12-13 14:49:02;0
54.52343;18.65818;2016-12-13 14:49:11;0
54.52343;18.65818;2016-12-13 14:51:01;9.97689744040084
54.52335;18.65825;2016-12-13 14:51:07;3.87205949661984
54.52335;18.65831;2016-12-13 14:53:02;0
54.52335;18.65831;2016-12-13 14:53:08;0
54.52335;18.65831;2016-12-13 14:55:02;0
54.52335;18.65831;2016-12-13 14:55:08;4.49437059610941
54.52331;18.6583;2016-12-13 14:57:02;0
54.52331;18.6583;2016-12-13 14:57:07;5.61559107155952
54.52328;18.65837;2016-12-13 14:59:02;0
54.52328;18.65837;2016-12-13 14:59:07;0
54.52328;18.65837;2016-12-13 15:01:02;0
54.52328;18.65837;2016-12-13 15:01:09;3.40723213414441
54.5233;18.65833;2016-12-13 15:03:02;0
54.5233;18.65833;2016-12-13 15:03:08;3.39769762806229
54.52333;18.65832;2016-12-13 15:05:02;0
54.52333;18.65832;2016-12-13 15:05:08;0
54.52333;18.65832;2016-12-13 15:07:02;0
54.52333;18.65832;2016-12-13 15:07:09;4.02855982646184
54.52332;18.65826;2016-12-13 15:09:02;0
54.52332;18.65826;2016-12-13 15:09:07;2.2326327021077
54.52331;18.65823;2016-12-13 15:11:02;0
54.52331;18.65823;2016-12-13 15:11:07;0
54.52331;18.65823;2016-12-13 15:13:01;0
54.52331;18.65823;2016-12-13 15:13:06;6.79539510391255
54.52337;18.65825;2016-12-13 15:15:02;0
54.52337;18.65825;2016-12-13 15:15:07;5.16274346674034
54.52337;18.65817;2016-12-13 15:17:01;0
54.52337;18.65817;2016-12-13 15:17:07;0
54.52337;18.65817;2016-12-13 15:19:02;0
54.52337;18.65817;2016-12-13 15:19:07;4.49437045922054
54.52341;18.65816;2016-12-13 15:21:01;0
54.52341;18.65816;2016-12-13 15:21:07;3.39769729713179
54.52344;18.65817;2016-12-13 15:23:02;3.39769729713179
54.52341;18.65816;2016-12-13 15:23:06;3.39769729713179
54.52344;18.65817;2016-12-13 15:25:01;0
54.52344;18.65817;2016-12-13 15:25:07;7.15366962657152
54.52338;18.65821;2016-12-13 15:27:02;0
54.52338;18.65821;2016-12-13 15:27:07;0
54.52338;18.65821;2016-12-13 15:29:02;0
54.52338;18.65821;2016-12-13 15:29:08;4.21798082031882
54.52335;18.65825;2016-12-13 15:31:02;0
54.52335;18.65825;2016-12-13 15:31:15;0
54.52335;18.65825;2016-12-13 15:33:01;0.645343249299822
54.52335;18.65826;2016-12-13 15:33:07;5.49496007960116
54.52339;18.65821;2016-12-13 15:35:02;0
54.52339;18.65821;2016-12-13 15:35:07;0
54.52339;18.65821;2016-12-13 15:37:01;0
54.52339;18.65821;2016-12-13 15:37:07;5.62135265031602
54.52341;18.65813;2016-12-13 15:39:02;0
54.52341;18.65813;2016-12-13 15:39:08;5.14260237422243
54.52345;18.65817;2016-12-13 15:41:02;0
54.52345;18.65817;2016-12-13 15:41:08;0
54.52345;18.65817;2016-12-13 15:43:02;0
54.52345;18.65817;2016-12-13 15:43:08;4.21797811088749
54.52342;18.65813;2016-12-13 15:45:02;0
54.52342;18.65813;2016-12-13 15:45:07;4.64107209974685
54.52339;18.65818;2016-12-13 15:47:02;0
54.52339;18.65818;2016-12-13 15:47:07;0
54.52339;18.65818;2016-12-13 15:49:01;0
54.52339;18.65818;2016-12-13 15:49:07;2.31564072792042
54.52337;18.65817;2016-12-13 15:51:01;0
